Epoch,Comb_Train_Loss,Comb_Train_Accuracy,CVHuman_Loss,CVHuman_Accuracy
1,0.7169364986326717,0.73173515855007,1.7940154173560285,0.6448630147175548
2,0.4911819350975884,0.8146118691114513,0.6515792229664132,0.778995432027669
3,0.43663996541112465,0.8378995381397728,0.5118769169907356,0.8195205436653714
4,0.4073468640741162,0.84657533735581,0.47627594482156815,0.8307077569640352
5,0.3886887020201287,0.8541095823593862,0.42327211170624035,0.8437214560432502
6,0.36933755305381505,0.8630136920300785,0.4299475803768164,0.8392694007996538
7,0.3343841270096276,0.8777397193320813,0.38452169840676237,0.8597031898422316
8,0.3266800673048997,0.8777397196382697,0.37078648958509686,0.8630136932888526
9,0.3072880112473722,0.8874429149986959,0.3842961751060927,0.8583333279308109
10,0.3187624680345111,0.8858447415779718,0.3889873624110437,0.8603881224649675
11,0.2881382703278866,0.8938356084774627,0.36124378693373704,0.8675799023138868
12,0.2793329481240657,0.8970319552508674,0.37113285832464865,0.8651826435436392
13,0.25943054975530117,0.9037671157214204,0.3724988665659756,0.8739725970514285
14,0.24776089384957833,0.9070776177731835,0.3447557689307407,0.8746575276329085
15,0.2403579428999483,0.911301361507479,0.3667173925641648,0.8779680299568391
16,0.24330090323661735,0.9115296731528658,0.36107310581690955,0.8737442860524395
17,0.2249126521181545,0.9167808139160918,0.3581383694995144,0.8761415462175458
18,0.23734289801543357,0.9156392603840486,0.35191957021301834,0.8768264769691304
19,0.2555443854958206,0.9053652896184388,0.35346593315009067,0.8742009075401037
20,0.2467554093985108,0.9128995367993531,0.38563565666623517,0.875570770199984
